순위,가수이름,노래제목
1,정국,Seven (feat. Latto) - Clean Ver.
2,NewJeans,Super Shy
3,NewJeans,ETA
4,(여자)아이들,퀸카 (Queencard)
5,박재정,헤어지자 말해요
6,IVE (아이브),I AM
7,우디 (Woody),사막에서 꽃을 피우듯
8,임영웅,모래 알갱이
9,Lauv,Steal The Show (From “엘리멘탈”)
10,임영웅,사랑은 늘 도망가
11,전소미,Fast Forward
12,aespa,Spicy
13,임영웅,우리들의 블루스
14,NewJeans,New Jeans
15,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
16,AKMU (악뮤),Love Lee
17,임영웅,다시 만날 수 있을까
18,NewJeans,Hype boy
19,정국,Still With You
20,임영웅,무지개
21,임영웅,이제 나만 믿어요
22,임영웅,London Boy
23,임영웅,아버지
24,임영웅,Polaroid
25,IVE (아이브),Kitsch
26,임영웅,인생찬가
27,임영웅,A bientot
28,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
29,임영웅,손이 참 곱던 그대
30,NewJeans,Ditto
31,임영웅,사랑해 진짜
32,Paul Blanco,Summer (Feat. BE’O (비오))
33,임영웅,연애편지
34,임영웅,보금자리
35,NewJeans,Cool With You
36,방탄소년단,Dynamite
37,NewJeans,Attention
38,세븐틴 (SEVENTEEN),손오공
39,AKMU (악뮤),후라이의 꿈
40,V,Love Me Again
41,NewJeans,OMG
42,방탄소년단,Take Two
43,ITZY (있지),CAKE
44,윤하 (YOUNHA),사건의 지평선
45,이세계아이돌,KIDDING
46,IVE (아이브),After LIKE
47,STAYC(스테이씨),Bubble
48,IVE (아이브),LOVE DIVE
49,방탄소년단,봄날
50,지수 (JISOO),꽃
51,Charlie Puth,I Don't Think That I Like Her
52,지민,Like Crazy
53,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
54,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
55,Charlie Puth,Dangerously
56,방탄소년단,Butter
57,Agust D,사람 Pt.2 (feat. 아이유)
58,NCT DREAM,ISTJ
59,DK(디셈버),심(心)
60,STAYC(스테이씨),Teddy Bear
61,탑현,나에게 그대만이
62,임한별,사랑하지 않아서 그랬어
63,성시경,너의 모든 순간
64,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
65,멜로망스,사랑인가 봐
66,V,Rainy Days
67,NCT DREAM,Candy
68,이무진,잠깐 시간 될까
69,김호중,그중에 그대를 만나
70,허각,물론
71,방탄소년단,Permission to Dance
72,FIFTY FIFTY,Cupid
73,우효,민들레 (single ver.)
74,NewJeans,ASAP
75,케이시 (Kassy),사실말야내가말야그게그러니까말이야
76,LE SSERAFIM (르세라핌),ANTIFRAGILE
77,"j-hope, J. Cole",on the street (with J. Cole)
78,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
79,경서,첫 키스에 내 심장은 120BPM
80,(여자)아이들,Allergy
81,"김연지, DK(디셈버)",미친 사랑의 노래
82,지아,사랑..그게 뭔데
83,제이세라,사랑의 바보
84,이세계아이돌,LOCKDOWN
85,IVE (아이브),I WANT
86,"The Kid LAROI, Justin Bieber",STAY
87,김민석 (멜로망스),취중고백
88,NCT DREAM,Broken Melodies
89,ZEROBASEONE (제로베이스원),In Bloom
90,#안녕,해요 (2022)
91,"경서예지, 전건호",다정히 내 이름을 부르면
92,"김호중, 송가인",당신을 만나
93,이세계아이돌,Another World
94,(여자)아이들,TOMBOY
95,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
96,NCT DREAM,Yogurt Shake
97,Charlie Puth,That's Hilarious
98,임재현,Heaven(2023)
99,던 (DAWN),빛이 나는 너에게
100,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
