순위,가수이름,노래제목
1,NewJeans,Super Shy
2,정국,Seven (feat. Latto) - Clean Ver.
3,NewJeans,ETA
4,(여자)아이들,퀸카 (Queencard)
5,박재정,헤어지자 말해요
6,IVE (아이브),I AM
7,aespa,Spicy
8,Lauv,Steal The Show (From “엘리멘탈”)
9,LE SSERAFIM (르세라핌),"이브, 프시케 그리고 푸른 수염의 아내"
10,NewJeans,New Jeans
11,임영웅,모래 알갱이
12,임영웅,사랑은 늘 도망가
13,NewJeans,Hype boy
14,임영웅,우리들의 블루스
15,IVE (아이브),Kitsch
16,정국,Still With You
17,LE SSERAFIM (르세라핌),UNFORGIVEN (feat. Nile Rodgers)
18,우디 (Woody),사막에서 꽃을 피우듯
19,임영웅,다시 만날 수 있을까
20,NewJeans,Ditto
21,임영웅,무지개
22,NewJeans,Cool With You
23,임영웅,이제 나만 믿어요
24,임영웅,London Boy
25,임영웅,Polaroid
26,임영웅,아버지
27,임영웅,인생찬가
28,임영웅,A bientot
29,NewJeans,Attention
30,임영웅,손이 참 곱던 그대
31,방탄소년단,Dynamite
32,Paul Blanco,Summer (Feat. BE’O (비오))
33,임영웅,사랑해 진짜
34,NewJeans,OMG
35,임영웅,연애편지
36,V,Love Me Again
37,NCT DREAM,ISTJ
38,세븐틴 (SEVENTEEN),손오공
39,방탄소년단,Take Two
40,IVE (아이브),After LIKE
41,지수 (JISOO),꽃
42,임영웅,보금자리
43,NCT DREAM,Candy
44,윤하 (YOUNHA),사건의 지평선
45,IVE (아이브),LOVE DIVE
46,방탄소년단,봄날
47,Charlie Puth,I Don't Think That I Like Her
48,지민,Like Crazy
49,"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound)
50,Agust D,사람 Pt.2 (feat. 아이유)
51,NewJeans,ASAP
52,Charlie Puth,Dangerously
53,방탄소년단,Butter
54,NCT DREAM,Broken Melodies
55,이무진,잠깐 시간 될까
56,부석순 (SEVENTEEN),파이팅 해야지 (Feat. 이영지)
57,전소미,Fast Forward
58,STAYC(스테이씨),Teddy Bear
59,V,Rainy Days
60,DK(디셈버),심(心)
61,탑현,나에게 그대만이
62,FIFTY FIFTY,Cupid
63,임한별,사랑하지 않아서 그랬어
64,오마이걸 (OH MY GIRL),여름이 들려 (Summer Comes)
65,ZEROBASEONE (제로베이스원),In Bloom
66,허각,물론
67,LE SSERAFIM (르세라핌),ANTIFRAGILE
68,멜로망스,사랑인가 봐
69,(여자)아이들,Allergy
70,성시경,너의 모든 순간
71,"j-hope, J. Cole",on the street (with J. Cole)
72,방탄소년단,Permission to Dance
73,지아,사랑..그게 뭔데
74,ITZY (있지),CAKE
75,H1-KEY (하이키),건물 사이에 피어난 장미 (Rose Blossom)
76,NCT DREAM,Yogurt Shake
77,김호중,그중에 그대를 만나
78,경서,첫 키스에 내 심장은 120BPM
79,케이시 (Kassy),사실말야내가말야그게그러니까말이야
80,"The Kid LAROI, Justin Bieber",STAY
81,우효,민들레 (single ver.)
82,NCT DREAM,파랑 (Blue Wave)
83,김민석 (멜로망스),취중고백
84,제이세라,사랑의 바보
85,(여자)아이들,TOMBOY
86,임재현,Heaven(2023)
87,#안녕,해요 (2022)
88,Charlie Puth,That's Hilarious
89,"경서예지, 전건호",다정히 내 이름을 부르면
90,IVE (아이브),I WANT
91,던 (DAWN),빛이 나는 너에게
92,(여자)아이들,Nxde
93,더보이즈 (THE BOYZ),LIP GLOSS
94,NCT DREAM,Like We Just Met
95,로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
96,Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
97,NewJeans,Get Up
98,"김호중, 송가인",당신을 만나
99,테이,Monologue
100,imase,NIGHT DANCER
