순번,통화명,기준가(원)
1,미국 USD,"1,337.70"
2,유럽연합 EUR,"1,459.16"
3,일본 JPY (100엔),918.84
4,중국 CNY,182.68
5,홍콩 HKD,170.92
6,대만 TWD,41.87
7,영국 GBP,"1,698.48"
8,오만 OMR,"3,474.64"
9,캐나다 CAD,991.04
10,스위스 CHF,"1,522.54"
11,스웨덴 SEK,123.13
12,호주 AUD,861.61
13,뉴질랜드 NZD,794.33
14,체코 CZK,60.52
15,칠레 CLP,1.55
16,튀르키예 TRY,49.42
17,몽골 MNT,0.38
18,이스라엘 ILS,357.24
19,덴마크 DKK,195.82
20,노르웨이 NOK,127.07
21,사우디아라비아 SAR,356.64
22,쿠웨이트 KWD,"4,347.42"
23,바레인 BHD,"3,548.37"
24,아랍에미리트 AED,364.21
25,요르단 JOD,"1,886.74"
26,이집트 EGP,43.29
27,태국 THB,37.78
28,싱가포르 SGD,984.44
29,말레이시아 MYR,288.20
30,인도네시아 IDR 100,8.74
31,카타르 QAR,366.98
32,카자흐스탄 KZT,2.96
33,브루나이 BND,984.44
34,인도 INR,16.03
35,파키스탄 PKR,4.59
36,방글라데시 BDT,12.22
37,필리핀 PHP,23.54
38,멕시코 MXN,78.07
39,브라질 BRL,268.30
40,베트남 VND 100,5.58
41,남아프리카 공화국 ZAR,69.82
42,러시아 RUB,13.51
43,헝가리 HUF,3.76
44,폴란드 PLN,325.95
45,스리랑카 LKR,4.17
46,알제리 DZD,9.84
47,케냐 KES,9.30
48,콜롬비아 COP,0.33
49,탄자니아 TZS,0.53
50,네팔 NPR,10.08
51,루마니아 RON,295.35
52,리비아 LYD,277.87
53,마카오 MOP,165.82
54,미얀마 MMK,0.64
55,에티오피아 ETB,24.25
56,우즈베키스탄 UZS,0.11
57,캄보디아 KHR,0.32
58,피지 FJD,590.19
