순번,리뷰
1,"평소사이즈 보다 한사이즈 크게 시키니 잘맞는것같아요
착용감도 좋아요 암튼 잘산것같아요 좋으네요^^"
2,"살까말까 고민 많이했는데 착용해보니 편하고 좋네요.
가격은 좀 비싼편이지만 산에 오를때는 피로감이 덜한게 더 중요하니...아직 산행은 안해봤지만 착용해보니 편해요.
한치수 크게 주문하는게 좋아요~"
3,"명불허전 캠프라인
두번째 신습니다
견고하고 바위에 착 붙는 미끄러지지 않고
암튼 좋네요"
4,"신발이 작게 나왔다는 후기들이 보여서
260 신는데 265를 샀습니다.
사이즈가 크다는 느낌 없습니다.
비슷한 발 크기는 참고하실 만합니다.

트렁크에 열 켤레 정도의 등산화를 싣고 다닙니다.
산악의 특성에 맞는 신발을 신는 편입니다.
십몇만원 주고 신발 사서 상황에 따라 신는 게
산에서 미끄러지거나 발목 삐어서 병원신세지는 것보다
여러 모로 낫다고 생각합니다.

릿지할 때 신으려고 샀습니다.
암벽에서의 마찰력은 좀 아쉽고요
발이 편하지 않습니다.
발가락에 집중되는 압박감이 있네요.
릿지화 치고는 저렴한 편인데
캠퍼스라인 브랜드 믿고 샀습니다.
그래도 캠퍼스라인인데 하는 신뢰로요.
이 글을 읽으시는 분이 제 가까운 사람이라면
좀 더 보태서 더 좋은 거 사라고 권하겠습니다."
5,"10만원이하 제품만 신다가
첨으로 상향제품을 구매
복도에서 신어봣는데 착착붙는 느낌이!

산행을 해봐야 느낌 알쥐?

첨 500m정도 산행
신발이 가벼운 느낌은 없음
돌산 착화감은 이상없는데
[아이젠없는 모든 등산화가 미끄럼(눈-얼음)엔 무방비]
엄청편하다는 느낌은 없고 , 타인이 상표를 알아봐주는,,

평소 260신는데
겨울양말로 265신으니 딱맞네요"
6,캠프라인 릿지엑스 유명하죠..역시 좋네요..발이 편하고 암벽에 강합니다. 참조로 전 운동화는 275mm신지만 등산화는 두꺼운 양말 때문에 280mm신습니다. 딱 좋아요
7,"백만번 고민하고 구매했는데
기대이상으로 완전편하고 마음에 들어요^^
등산 열심히 하겠습니다."
8,"집에 등산화 8켤레 있는데 모두 캠프라인 제품 고어텍스, 경등산화, 여름트레킹화, 릿지화, 암벽화등등 있는데 오늘 또다시 릿지화를 하나 구입했네요. 마음에 쏙ㅡㅡㅡ"
9,착용감 좋고 가벼우며 빗길에도 잘 미끄럽지않으며 밑창갈이도 a/s됀다하여 구매하였습니다. 재 구매할의사가 있을만큼 주변 지인들에게 많이 소개하고 있습니다. 좋은제품 만들어주셔서 감사합니다.
10,"불암산 영신슬랩B코스
해봤는데 너무너무 만족합니다
5.10 신발도 최고였는데
버금갈 정도로 안정감 있고 잘붙음 최고"
11,산행시 진짜 편하구 새신발이라해서 조금아풀까 했는데 전혀 아푸지 않았어요.신발 이뿌고 편합니다 저는 칼발이라 딱 좋아요
12,어머니가 너무너무 좋아하시네요 감사합니다
13,탄탄하니 좋아요
14,3달째 사용 중인데 만족스럽습니다
15,"배송은 빠르게 왔지만
누가 반품한 상품을 보낸건지
DP됐던걸 보낸건지 밑창 옆이나 아래가 깨끗하지 않네요
티안나게 걸레나 물티슈로 닦아서 보낸것 같은 느낌입니다"
16,"상품은 최고 였으나
배송 날짜 보다 늦어져
산행 날짜에 못 신은게 아쉬웠습니다."
17,제품도 좋고 배송도 빠르고 궂 입니다
18,"['20만원이나 주고 사기엔 좀', '평이 좋은 상품은 이유가 있군요', '집에 캠프라인 전시장', '산행시 진짜 편행ᆢ', '앞뒤가 처음신을때 좀많이 뻑빡하네요', '사이즈도 잘 맞고 편안하고 좋아요', '가벼운 신발이다. 신기에 편하다', '캠프라인 처음 신어보는데 괜찮네요.', '모양 착용감 만족합니다', '5mm커게 신는게 맞을듯 합니다, 제가 발볼이 넓어요', '새상품이 아닌 느낌']"
